285086 imgs, 9169 classes, dev=cuda
class set changed (9170->9169); resuming backbone only, fresh head
resumed from model.pt
ep17 it1600/2005 loss 0.841
ep17 it1650/2005 loss 0.865
ep17 it1700/2005 loss 0.832
ep17 it1750/2005 loss 0.831
ep17 it1800/2005 loss 0.970
ep17 it1850/2005 loss 0.978
ep17 it1900/2005 loss 0.993
ep17 it1950/2005 loss 0.877
ep17 it2000/2005 loss 1.210
== epoch 17: val acc 0.496
ep18 it0/2005 loss 0.680
ep18 it50/2005 loss 0.789
ep18 it100/2005 loss 0.673
ep18 it150/2005 loss 0.690
ep18 it200/2005 loss 0.925
ep18 it250/2005 loss 0.719
ep18 it300/2005 loss 0.806
ep18 it350/2005 loss 0.717
ep18 it400/2005 loss 0.775
ep18 it450/2005 loss 0.680
ep18 it500/2005 loss 0.747
ep18 it550/2005 loss 0.831
ep18 it600/2005 loss 0.737
ep18 it650/2005 loss 0.735
ep18 it700/2005 loss 1.007
ep18 it750/2005 loss 0.788
ep18 it800/2005 loss 1.081
ep18 it850/2005 loss 0.899
ep18 it900/2005 loss 1.298
ep18 it950/2005 loss 1.223
ep18 it1000/2005 loss 0.901
ep18 it1050/2005 loss 0.732
ep18 it1100/2005 loss 0.851
ep18 it1150/2005 loss 0.770
ep18 it1200/2005 loss 0.908
ep18 it1250/2005 loss 0.761
ep18 it1300/2005 loss 0.881
